holder_id,holder_name
151,ASIABEAUTY (M) SDN. BHD.
152,ASIALUSH SDN. BHD. 
153,ASIAN BEAUTY CORNER SDN. BHD.
154,ASIANA SYNERGY
155,ASL INSPIRATIONS SDN. BHD.
156,ASLEYA SDN BHD 
157,ASPIRA CREATION SDN. BHD.
158,ASS BEAUTY ENTERPRISE
159,ASTANA BIOCARE SDN BHD
160,ASTERTIX RESOURCES
161,ASYUK MAJU ENTERPRISE
162,ATHNAN N SDN. BHD.
163,ATIRA MOHD ENTERPRISE
164,ATOMY MALAYSIA SDN. BHD.
165,ATSON SCIENCE SDN BHD
166,AUDREY MAKE UP STUDIO
167,AUGUST 17 NETWORK
168,AURA GORGEOUS BEAUTY & HEALTHY
169,AURA KASIH EMPAYAR SDN BHD
170,AURA MARKETING SDN. BHD.
171,AURELPARFUMS SDN. BHD.
172,AURORA HEALTH SDN BHD
173,AUSFA BERKAT ENTERPRISE
174,AUTON BIOTECH SDN. BHD.
175,AVAIL BEAUTY SDN BHD
176,AVANTCOM INTERNATIONAL SDN. BHD.
177,AVENISS BEAUTE (M) SDN BHD
178,AVENYS MALAYSIA SDN BHD
179,AVEROSSE TRADING
180,AVICENNA 88 ENTERPRISE
181,AVON COSMETICS (MALAYSIA) SENDIRIAN BERHAD
182,AXELTRADE RESOURCES PLT
183,AXIOMA BIOTECH SDN. BHD.
184,AXIS ONE DESIGN
185,AY & NR ENTERPRISE
186,AYUR CENTRE SDN. BHD.
187,AYUR V AYURVEDIC HAIR & BEAUTY CARE
188,AYURGRADE ENTERPRISE
189,AZ LAB SDN. BHD.
190,AZARUL AISHAH ENTERPRISE
191,AZTIE RESOURCES SDN BHD
192,AZURE IS BLUE SDN. BHD.
193,Ace Organic Ashitaba Sdn Bhd
194,Achima Skincare Sdn Bhd
195,Advanced Apotheke Sdn Bhd
196,Aesop Malaysia Sdn. Bhd.
197,Aesthetic Leader Sdn Bhd
198,Aesthetics Distributor (M) Sdn Bhd
199,Aglow Dermacare Sdn. Bhd.
200,Ai Li Si Beauty Enterprise
201,Airis Spa Cosmetic
202,Al Resalah Enterprise
203,Al Rizq Tawakal Enterprise
204,Alias Beauty Art Sdn Bhd
205,Almaz Marketing Sdn. Bhd.
206,Alpha Bio Medic (M) Sdn Bhd
207,Am Style Boutique Sdn. Bhd.
208,Amlion Personal Care Mfg Sdn Bhd
209,Ampersand Aesthetics Sdn. Bhd.
210,Angelnny Beauty & Make Up Academy Sdn. Bhd.
211,Ap Hair & Beauty Supplier Sdn Bhd
212,Aqualabs International (m) Sdn Bhd
213,Aroma La Vida Sdn Bhd
214,Aromalogy Sdn Bhd
215,Artist Academy
216,Asia Herbal Biotech Sdn Bhd
217,Asia5b Sdn Bhd
218,Aspen Medical Products Malaysia Sdn Bhd
219,Athena Partners Sdn. Bhd.
220,Aura Indah Jaya Sdn Bhd
221,Aura One Resources
222,Aurora International Sdn. Bhd.
223,Autologous Cellular Therapeutics Sdn. Bhd.
224,B MEDIC BIOTECH SDN. BHD. 
225,B ORGANIC SDN BHD
